series,date,state,sector,value(value of GDP in RM millions),,,,,
abs,1/1/2018,Terengganu,p1,2846.927,,,,,
abs,1/1/2018,Terengganu,p2,183.225,,,,,
abs,1/1/2018,Terengganu,p3,13055.539,,,,,
abs,1/1/2018,Terengganu,p4,1161.133,,,,,
abs,1/1/2018,Terengganu,p5,17527.333,,,,,
abs,1/1/2018,Terengganu,p6,64.051,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p0,220358.974,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p2,145.724,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p3,5867.619,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p4,17446.124,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p5,193472.341,,,,,
abs,1/1/2018,W.P. Kuala Lumpur,p6,3425.512,,,,,
abs,1/1/2018,W.P. Labuan,p0,7244.941,,,,,
abs,1/1/2018,W.P. Labuan,p1,125.608,,,,,
abs,1/1/2018,W.P. Labuan,p2,0,,,,,
abs,1/1/2018,W.P. Labuan,p3,1364.66,,,,,
abs,1/1/2018,W.P. Labuan,p4,156.064,,,,,
abs,1/1/2018,W.P. Labuan,p5,5480.777,,,,,
abs,1/1/2018,W.P. Labuan,p6,117.831,,,,,
abs,1/1/2019,Johor,p0,134225.938,,,,,
abs,1/1/2019,Johor,p1,16403.246,,,,,
abs,1/1/2019,Johor,p2,812.547,,,,,
abs,1/1/2019,Johor,p3,40124.896,,,,,
abs,1/1/2019,Johor,p4,6699.7,,,,,
abs,1/1/2019,Johor,p5,68576.722,,,,,
abs,1/1/2019,Johor,p6,1608.826,,,,,
abs,1/1/2019,Kedah,p0,46841.199,,,,,
abs,1/1/2019,Kedah,p1,5645.724,,,,,
abs,1/1/2019,Kedah,p2,125.34,,,,,
abs,1/1/2019,Kedah,p3,13429.618,,,,,
abs,1/1/2019,Kedah,p4,1090.383,,,,,
abs,1/1/2019,Kedah,p5,26326.519,,,,,
abs,1/1/2019,Kedah,p6,223.615,,,,,
abs,1/1/2019,Kelantan,p0,25479.178,,,,,
abs,1/1/2019,Kelantan,p1,5813.752,,,,,
abs,1/1/2019,Kelantan,p2,416.804,,,,,
abs,1/1/2019,Kelantan,p3,1300.391,,,,,
abs,1/1/2019,Kelantan,p4,383.135,,,,,
abs,1/1/2019,Kelantan,p5,17535.366,,,,,
abs,1/1/2019,Kelantan,p6,29.729,,,,,
abs,1/1/2019,Melaka,p0,43583.397,,,,,
abs,1/1/2019,Melaka,p1,4433.169,,,,,
abs,1/1/2019,Melaka,p2,67.905,,,,,
abs,1/1/2019,Melaka,p3,16744.806,,,,,
abs,1/1/2019,Melaka,p4,1357.797,,,,,
abs,1/1/2019,Melaka,p5,20917.737,,,,,
abs,1/1/2019,Melaka,p6,61.984,,,,,
abs,1/1/2019,Negeri Sembilan,p0,48033.554,,,,,
abs,1/1/2019,Negeri Sembilan,p1,3556.781,,,,,
abs,1/1/2019,Negeri Sembilan,p2,235.759,,,,,
abs,1/1/2019,Negeri Sembilan,p3,17630.391,,,,,
abs,1/1/2019,Negeri Sembilan,p4,1842.634,,,,,
abs,1/1/2019,Negeri Sembilan,p5,24037.373,,,,,
abs,1/1/2019,Negeri Sembilan,p6,730.616,,,,,
abs,1/1/2019,Pahang,p0,58434.372,,,,,
abs,1/1/2019,Pahang,p1,12849.208,,,,,
abs,1/1/2019,Pahang,p2,819.669,,,,,
abs,1/1/2019,Pahang,p3,12766.618,,,,,
abs,1/1/2019,Pahang,p4,1726.92,,,,,
abs,1/1/2019,Pahang,p5,30217.041,,,,,
abs,1/1/2019,Pahang,p6,54.917,,,,,
abs,1/1/2019,Perak,p0,75992.708,,,,,
abs,1/1/2019,Perak,p1,11312.41,,,,,
abs,1/1/2019,Perak,p2,504.554,,,,,
abs,1/1/2019,Perak,p3,13683.259,,,,,
abs,1/1/2019,Perak,p4,2490.203,,,,,
abs,1/1/2019,Perak,p5,47970.594,,,,,
abs,1/1/2019,Perak,p6,31.687,,,,,
abs,1/1/2019,Perlis,p0,6151.334,,,,,
abs,1/1/2019,Perlis,p1,1333.94,,,,,
abs,1/1/2019,Perlis,p2,33.318,,,,,
abs,1/1/2019,Perlis,p3,470.377,,,,,
abs,1/1/2019,Perlis,p4,166.658,,,,,
abs,1/1/2019,Perlis,p5,4074.923,,,,,
abs,1/1/2019,Perlis,p6,72.118,,,,,
abs,1/1/2019,Pulau Pinang,p0,94645.352,,,,,
abs,1/1/2019,Pulau Pinang,p1,2067.787,,,,,
abs,1/1/2019,Pulau Pinang,p2,171.449,,,,,
abs,1/1/2019,Pulau Pinang,p3,40510.378,,,,,
abs,1/1/2019,Pulau Pinang,p4,2644.079,,,,,
abs,1/1/2019,Pulau Pinang,p5,48645.481,,,,,
abs,1/1/2019,Pulau Pinang,p6,606.177,,,,,
abs,1/1/2019,Sabah,p0,85641.69,,,,,
abs,1/1/2019,Sabah,p1,13719.07,,,,,
abs,1/1/2019,Sabah,p2,22736.44,,,,,
abs,1/1/2019,Sabah,p3,6471.818,,,,,
abs,1/1/2019,Sabah,p4,3098.682,,,,,
abs,1/1/2019,Sabah,p5,39428.467,,,,,
abs,1/1/2019,Sabah,p6,187.213,,,,,
abs,1/1/2019,Sarawak,p0,136759.184,,,,,
abs,1/1/2019,Sarawak,p1,16578.352,,,,,
abs,1/1/2019,Sarawak,p2,30012.841,,,,,
abs,1/1/2019,Sarawak,p3,36612.585,,,,,
abs,1/1/2019,Sarawak,p4,4476.115,,,,,
abs,1/1/2019,Sarawak,p5,48761.022,,,,,
abs,1/1/2019,Sarawak,p6,318.269,,,,,
abs,1/1/2019,Selangor,p0,345008.461,,,,,
abs,1/1/2019,Selangor,p1,4708.902,,,,,
abs,1/1/2019,Selangor,p2,859.075,,,,,
abs,1/1/2019,Selangor,p3,95941.82,,,,,
abs,1/1/2019,Selangor,p4,20663.954,,,,,
abs,1/1/2019,Selangor,p5,214347.881,,,,,
abs,1/1/2019,Selangor,p6,8486.83,,,,,
abs,1/1/2019,Terengganu,p0,36000.52,,,,,
abs,1/1/2019,Terengganu,p1,3016.084,,,,,
abs,1/1/2019,Terengganu,p2,200.918,,,,,
abs,1/1/2019,Terengganu,p3,13093.274,,,,,
abs,1/1/2019,Terengganu,p4,1165.429,,,,,
abs,1/1/2019,Terengganu,p5,18508.873,,,,,
abs,1/1/2019,Terengganu,p6,15.941,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p0,233793.693,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p2,152.637,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p3,6119.096,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p4,18469.697,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p5,205330.858,,,,,
abs,1/1/2019,W.P. Kuala Lumpur,p6,3719.753,,,,,
abs,1/1/2019,W.P. Labuan,p0,7623.268,,,,,
abs,1/1/2019,W.P. Labuan,p1,133.251,,,,,
abs,1/1/2019,W.P. Labuan,p2,0,,,,,
abs,1/1/2019,W.P. Labuan,p3,1383.647,,,,,
abs,1/1/2019,W.P. Labuan,p4,177.184,,,,,
abs,1/1/2019,W.P. Labuan,p5,5897.621,,,,,
abs,1/1/2019,W.P. Labuan,p6,31.566,,,,,
abs,1/1/2020,Johor,p0,128073.564,,,,,
abs,1/1/2020,Johor,p1,16856.55,,,,,
abs,1/1/2020,Johor,p2,657.515,,,,,
abs,1/1/2020,Johor,p3,38650.689,,,,,
abs,1/1/2020,Johor,p4,4175.525,,,,,
abs,1/1/2020,Johor,p5,66406.166,,,,,
abs,1/1/2020,Johor,p6,1327.119,,,,,
abs,1/1/2020,Kedah,p0,46042.458,,,,,
abs,1/1/2020,Kedah,p1,5517.843,,,,,
abs,1/1/2020,Kedah,p2,111.892,,,,,
abs,1/1/2020,Kedah,p3,13618.773,,,,,
abs,1/1/2020,Kedah,p4,1112.621,,,,,
abs,1/1/2020,Kedah,p5,25433.746,,,,,
abs,1/1/2020,Kedah,p6,247.582,,,,,
abs,1/1/2020,Kelantan,p0,25187.708,,,,,
abs,1/1/2020,Kelantan,p1,5817.503,,,,,
abs,1/1/2020,Kelantan,p2,341.892,,,,,
abs,1/1/2020,Kelantan,p3,1234.011,,,,,
abs,1/1/2020,Kelantan,p4,396.456,,,,,
abs,1/1/2020,Kelantan,p5,17374.192,,,,,
abs,1/1/2020,Kelantan,p6,23.653,,,,,
abs,1/1/2020,Melaka,p0,41030.449,,,,,
abs,1/1/2020,Melaka,p1,4583.532,,,,,
abs,1/1/2020,Melaka,p2,59.283,,,,,
abs,1/1/2020,Melaka,p3,15322.431,,,,,
abs,1/1/2020,Melaka,p4,991.943,,,,,
abs,1/1/2020,Melaka,p5,19969.693,,,,,
abs,1/1/2020,Melaka,p6,103.567,,,,,
abs,1/1/2020,Negeri Sembilan,p0,46336.101,,,,,
abs,1/1/2020,Negeri Sembilan,p1,3318.702,,,,,
abs,1/1/2020,Negeri Sembilan,p2,199.668,,,,,
abs,1/1/2020,Negeri Sembilan,p3,16760.978,,,,,
abs,1/1/2020,Negeri Sembilan,p4,1370.22,,,,,
abs,1/1/2020,Negeri Sembilan,p5,23822.068,,,,,
abs,1/1/2020,Negeri Sembilan,p6,864.466,,,,,
abs,1/1/2020,Pahang,p0,54885.462,,,,,
abs,1/1/2020,Pahang,p1,13001.464,,,,,
abs,1/1/2020,Pahang,p2,613.576,,,,,
abs,1/1/2020,Pahang,p3,12246.086,,,,,
abs,1/1/2020,Pahang,p4,1351.98,,,,,
abs,1/1/2020,Pahang,p5,27597.184,,,,,
abs,1/1/2020,Pahang,p6,75.173,,,,,
abs,1/1/2020,Perak,p0,74263.987,,,,,
abs,1/1/2020,Perak,p1,11430.364,,,,,
abs,1/1/2020,Perak,p2,432.138,,,,,
abs,1/1/2020,Perak,p3,14155.88,,,,,
abs,1/1/2020,Perak,p4,2057.417,,,,,
abs,1/1/2020,Perak,p5,46136.819,,,,,
abs,1/1/2020,Perak,p6,51.37,,,,,
abs,1/1/2020,Perlis,p0,5785.067,,,,,
abs,1/1/2020,Perlis,p1,1087.742,,,,,
abs,1/1/2020,Perlis,p2,30.067,,,,,
abs,1/1/2020,Perlis,p3,443.996,,,,,
abs,1/1/2020,Perlis,p4,150.603,,,,,
abs,1/1/2020,Perlis,p5,4032.247,,,,,
abs,1/1/2020,Perlis,p6,40.41,,,,,
abs,1/1/2020,Pulau Pinang,p0,92690.682,,,,,
abs,1/1/2020,Pulau Pinang,p1,2048.85,,,,,
abs,1/1/2020,Pulau Pinang,p2,139.141,,,,,
abs,1/1/2020,Pulau Pinang,p3,41626.57,,,,,
abs,1/1/2020,Pulau Pinang,p4,2234.118,,,,,
abs,1/1/2020,Pulau Pinang,p5,45978.568,,,,,
abs,1/1/2020,Pulau Pinang,p6,663.435,,,,,
abs,1/1/2020,Sabah,p0,77840.052,,,,,
abs,1/1/2020,Sabah,p1,12798.329,,,,,
abs,1/1/2020,Sabah,p2,19935.969,,,,,
abs,1/1/2020,Sabah,p3,6042.344,,,,,
abs,1/1/2020,Sabah,p4,2196.533,,,,,
abs,1/1/2020,Sabah,p5,36597.415,,,,,
abs,1/1/2020,Sabah,p6,269.462,,,,,
abs,1/1/2020,Sarawak,p0,127556.288,,,,,
abs,1/1/2020,Sarawak,p1,14907.463,,,,,
abs,1/1/2020,Sarawak,p2,28591.412,,,,,
abs,1/1/2020,Sarawak,p3,33427.691,,,,,
abs,1/1/2020,Sarawak,p4,4081.745,,,,,
abs,1/1/2020,Sarawak,p5,46160.302,,,,,
abs,1/1/2020,Sarawak,p6,387.676,,,,,
abs,1/1/2020,Selangor,p0,326805.3,,,,,
abs,1/1/2020,Selangor,p1,4721.221,,,,,
abs,1/1/2020,Selangor,p2,755.167,,,,,
abs,1/1/2020,Selangor,p3,95113.627,,,,,
abs,1/1/2020,Selangor,p4,18664.936,,,,,
abs,1/1/2020,Selangor,p5,200127.437,,,,,
abs,1/1/2020,Selangor,p6,7422.912,,,,,
abs,1/1/2020,Terengganu,p0,33994.032,,,,,
abs,1/1/2020,Terengganu,p1,2902.817,,,,,
abs,1/1/2020,Terengganu,p2,175.891,,,,,
abs,1/1/2020,Terengganu,p3,11861.58,,,,,
abs,1/1/2020,Terengganu,p4,1080.445,,,,,
abs,1/1/2020,Terengganu,p5,17942.611,,,,,
abs,1/1/2020,Terengganu,p6,30.687,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p0,217447.043,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p2,138.272,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p3,5733.447,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p4,13589.06,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p5,194204.167,,,,,
abs,1/1/2020,W.P. Kuala Lumpur,p6,3780.403,,,,,
abs,1/1/2020,W.P. Labuan,p0,7613.361,,,,,
abs,1/1/2020,W.P. Labuan,p1,115.129,,,,,
abs,1/1/2020,W.P. Labuan,p2,0,,,,,
abs,1/1/2020,W.P. Labuan,p3,1367.505,,,,,
abs,1/1/2020,W.P. Labuan,p4,162.59,,,,,
abs,1/1/2020,W.P. Labuan,p5,5910.296,,,,,
abs,1/1/2020,W.P. Labuan,p6,57.841,,,,,
abs,1/1/2021,Johor,p0,131242.981,,,,,
abs,1/1/2021,Johor,p1,16882.569,,,,,
abs,1/1/2021,Johor,p2,586.874,,,,,
abs,1/1/2021,Johor,p3,40726.902,,,,,
abs,1/1/2021,Johor,p4,3417.687,,,,,
abs,1/1/2021,Johor,p5,68360.034,,,,,
abs,1/1/2021,Johor,p6,1268.915,,,,,
abs,1/1/2021,Kedah,p0,47505.068,,,,,
abs,1/1/2021,Kedah,p1,5668.731,,,,,
abs,1/1/2021,Kedah,p2,103.154,,,,,
abs,1/1/2021,Kedah,p3,14465.165,,,,,
abs,1/1/2021,Kedah,p4,1018.949,,,,,
abs,1/1/2021,Kedah,p5,25925.347,,,,,
abs,1/1/2021,Kedah,p6,323.722,,,,,
abs,1/1/2021,Kelantan,p0,25781.895,,,,,
abs,1/1/2021,Kelantan,p1,5869.39,,,,,
abs,1/1/2021,Kelantan,p2,352.629,,,,,
abs,1/1/2021,Kelantan,p3,1259.726,,,,,
abs,1/1/2021,Kelantan,p4,400.86,,,,,
abs,1/1/2021,Kelantan,p5,17866.211,,,,,
abs,1/1/2021,Kelantan,p6,33.078,,,,,
abs,1/1/2021,Melaka,p0,41871.632,,,,,
abs,1/1/2021,Melaka,p1,4517.274,,,,,
abs,1/1/2021,Melaka,p2,55.351,,,,,
abs,1/1/2021,Melaka,p3,15835.427,,,,,
abs,1/1/2021,Melaka,p4,896.499,,,,,
abs,1/1/2021,Melaka,p5,20508.12,,,,,
abs,1/1/2021,Melaka,p6,58.961,,,,,
abs,1/1/2021,Negeri Sembilan,p0,47787.092,,,,,
abs,1/1/2021,Negeri Sembilan,p1,3303.506,,,,,
abs,1/1/2021,Negeri Sembilan,p2,186.343,,,,,
abs,1/1/2021,Negeri Sembilan,p3,17962.246,,,,,
abs,1/1/2021,Negeri Sembilan,p4,1365.234,,,,,
abs,1/1/2021,Negeri Sembilan,p5,24359.904,,,,,
abs,1/1/2021,Negeri Sembilan,p6,609.859,,,,,
abs,1/1/2021,Pahang,p0,55440.104,,,,,
abs,1/1/2021,Pahang,p1,13005.688,,,,,
abs,1/1/2021,Pahang,p2,507.224,,,,,
abs,1/1/2021,Pahang,p3,12990.245,,,,,
abs,1/1/2021,Pahang,p4,1600.807,,,,,
abs,1/1/2021,Pahang,p5,27285.399,,,,,
abs,1/1/2021,Pahang,p6,50.74,,,,,
abs,1/1/2021,Perak,p0,76900.997,,,,,
abs,1/1/2021,Perak,p1,11768.73,,,,,
abs,1/1/2021,Perak,p2,401.822,,,,,
abs,1/1/2021,Perak,p3,15453.346,,,,,
abs,1/1/2021,Perak,p4,1919.248,,,,,
abs,1/1/2021,Perak,p5,47322.899,,,,,
abs,1/1/2021,Perak,p6,34.953,,,,,
abs,1/1/2021,Perlis,p0,5866.65,,,,,
abs,1/1/2021,Perlis,p1,1023.525,,,,,
abs,1/1/2021,Perlis,p2,28.553,,,,,
abs,1/1/2021,Perlis,p3,467.888,,,,,
abs,1/1/2021,Perlis,p4,150.799,,,,,
abs,1/1/2021,Perlis,p5,4119.515,,,,,
abs,1/1/2021,Perlis,p6,76.371,,,,,
abs,1/1/2021,Pulau Pinang,p0,99123.944,,,,,
abs,1/1/2021,Pulau Pinang,p1,1999.831,,,,,
abs,1/1/2021,Pulau Pinang,p2,129.979,,,,,
abs,1/1/2021,Pulau Pinang,p3,46768.162,,,,,
abs,1/1/2021,Pulau Pinang,p4,2521.324,,,,,
abs,1/1/2021,Pulau Pinang,p5,47079.905,,,,,
abs,1/1/2021,Pulau Pinang,p6,624.743,,,,,
abs,1/1/2021,Sabah,p0,79000.069,,,,,
abs,1/1/2021,Sabah,p1,12517.988,,,,,
abs,1/1/2021,Sabah,p2,20574.499,,,,,
abs,1/1/2021,Sabah,p3,5931.064,,,,,
abs,1/1/2021,Sabah,p4,2368.222,,,,,
abs,1/1/2021,Sabah,p5,37368.739,,,,,
abs,1/1/2021,Sabah,p6,239.556,,,,,
abs,1/1/2021,Sarawak,p0,131593.878,,,,,
abs,1/1/2021,Sarawak,p1,14465.913,,,,,
abs,1/1/2021,Sarawak,p2,27875.384,,,,,
abs,1/1/2021,Sarawak,p3,37092.353,,,,,
abs,1/1/2021,Sarawak,p4,4490.408,,,,,
abs,1/1/2021,Sarawak,p5,47314.523,,,,,
abs,1/1/2021,Sarawak,p6,355.297,,,,,
abs,1/1/2021,Selangor,p0,344102.741,,,,,
abs,1/1/2021,Selangor,p1,4950.204,,,,,
abs,1/1/2021,Selangor,p2,707.8,,,,,
abs,1/1/2021,Selangor,p3,107456.098,,,,,
abs,1/1/2021,Selangor,p4,17473.8,,,,,
abs,1/1/2021,Selangor,p5,205429.698,,,,,
abs,1/1/2021,Selangor,p6,8085.14,,,,,
abs,1/1/2021,Terengganu,p0,35235.898,,,,,
abs,1/1/2021,Terengganu,p1,2751.573,,,,,
abs,1/1/2021,Terengganu,p2,177.668,,,,,
abs,1/1/2021,Terengganu,p3,12984.114,,,,,
abs,1/1/2021,Terengganu,p4,1105.7,,,,,
abs,1/1/2021,Terengganu,p5,18200.843,,,,,
abs,1/1/2021,Terengganu,p6,15.999,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p0,219883.721,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p2,134.235,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p3,5977.909,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p4,11966.1,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p5,197978.504,,,,,
abs,1/1/2021,W.P. Kuala Lumpur,p6,3825.288,,,,,
abs,1/1/2021,W.P. Labuan,p0,7649.669,,,,,
abs,1/1/2021,W.P. Labuan,p1,116.628,,,,,
abs,1/1/2021,W.P. Labuan,p2,0,,,,,
abs,1/1/2021,W.P. Labuan,p3,1353.715,,,,,
abs,1/1/2021,W.P. Labuan,p4,143.3,,,,,
abs,1/1/2021,W.P. Labuan,p5,5996.655,,,,,
abs,1/1/2021,W.P. Labuan,p6,39.372,,,,,
abs,1/1/2022,Johor,p0,142369.692,,,,,
abs,1/1/2022,Johor,p1,17402.664,,,,,
abs,1/1/2022,Johor,p2,648.636,,,,,
abs,1/1/2022,Johor,p3,42948.216,,,,,
abs,1/1/2022,Johor,p4,3962.15,,,,,
abs,1/1/2022,Johor,p5,75875.363,,,,,
abs,1/1/2022,Johor,p6,1532.664,,,,,
abs,1/1/2022,Kedah,p0,50982.123,,,,,
abs,1/1/2022,Kedah,p1,5687.965,,,,,
abs,1/1/2022,Kedah,p2,114.256,,,,,
abs,1/1/2022,Kedah,p3,15633.475,,,,,
abs,1/1/2022,Kedah,p4,1205.493,,,,,
abs,1/1/2022,Kedah,p5,27992.38,,,,,
abs,1/1/2022,Kedah,p6,348.554,,,,,
abs,1/1/2022,Kelantan,p0,26934.566,,,,,
abs,1/1/2022,Kelantan,p1,5640.233,,,,,
abs,1/1/2022,Kelantan,p2,392.951,,,,,
abs,1/1/2022,Kelantan,p3,1298.632,,,,,
abs,1/1/2022,Kelantan,p4,479.777,,,,,
abs,1/1/2022,Kelantan,p5,19077.743,,,,,
abs,1/1/2022,Kelantan,p6,45.229,,,,,
abs,1/1/2022,Melaka,p0,45579.035,,,,,
abs,1/1/2022,Melaka,p1,4544.829,,,,,
abs,1/1/2022,Melaka,p2,61.137,,,,,
abs,1/1/2022,Melaka,p3,16904.765,,,,,
abs,1/1/2022,Melaka,p4,942.579,,,,,
abs,1/1/2022,Melaka,p5,23058.978,,,,,
abs,1/1/2022,Melaka,p6,66.747,,,,,
abs,1/1/2022,Negeri Sembilan,p0,50939.264,,,,,
abs,1/1/2022,Negeri Sembilan,p1,3321.034,,,,,
abs,1/1/2022,Negeri Sembilan,p2,206.612,,,,,
abs,1/1/2022,Negeri Sembilan,p3,19394.015,,,,,
abs,1/1/2022,Negeri Sembilan,p4,1444.138,,,,,
abs,1/1/2022,Negeri Sembilan,p5,26255.402,,,,,
abs,1/1/2022,Negeri Sembilan,p6,318.062,,,,,
abs,1/1/2022,Pahang,p0,61746.204,,,,,
abs,1/1/2022,Pahang,p1,13887.161,,,,,
abs,1/1/2022,Pahang,p2,571.949,,,,,
abs,1/1/2022,Pahang,p3,13745.04,,,,,
abs,1/1/2022,Pahang,p4,1584.062,,,,,
abs,1/1/2022,Pahang,p5,31906.849,,,,,
abs,1/1/2022,Pahang,p6,51.142,,,,,
abs,1/1/2022,Perak,p0,80426.886,,,,,
abs,1/1/2022,Perak,p1,11466.447,,,,,
abs,1/1/2022,Perak,p2,449.423,,,,,
abs,1/1/2022,Perak,p3,15606.298,,,,,
abs,1/1/2022,Perak,p4,2036.458,,,,,
abs,1/1/2022,Perak,p5,50816.522,,,,,
abs,1/1/2022,Perak,p6,51.737,,,,,
abs,1/1/2022,Perlis,p0,6209.957,,,,,
abs,1/1/2022,Perlis,p1,1058.373,,,,,
abs,1/1/2022,Perlis,p2,31.391,,,,,
abs,1/1/2022,Perlis,p3,489.059,,,,,
abs,1/1/2022,Perlis,p4,152.461,,,,,
abs,1/1/2022,Perlis,p5,4350.08,,,,,
abs,1/1/2022,Perlis,p6,128.592,,,,,
abs,1/1/2022,Pulau Pinang,p0,112281.052,,,,,
abs,1/1/2022,Pulau Pinang,p1,2094.675,,,,,
abs,1/1/2022,Pulau Pinang,p2,143.903,,,,,
abs,1/1/2022,Pulau Pinang,p3,54187.835,,,,,
abs,1/1/2022,Pulau Pinang,p4,2721.224,,,,,
abs,1/1/2022,Pulau Pinang,p5,52490.218,,,,,
abs,1/1/2022,Pulau Pinang,p6,643.197,,,,,
abs,1/1/2022,Sabah,p0,82106.428,,,,,
abs,1/1/2022,Sabah,p1,12543.031,,,,,
abs,1/1/2022,Sabah,p2,20454.838,,,,,
abs,1/1/2022,Sabah,p3,5780.032,,,,,
abs,1/1/2022,Sabah,p4,2514.425,,,,,
abs,1/1/2022,Sabah,p5,40544.43,,,,,
